NAICS,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+
113210,Forest nurseries & gathering forest products,Establishments,258,40,86,30,14,170,13,3,186,72
113210,Forest nurseries & gathering forest products,Employment,"1,677",0,182,192,168,542,[e],[b],"1,005",672
113210,Forest nurseries & gathering forest products,"Annual Payroll ($1,000)","66,968","1,672","4,719","4,099","3,613","14,103",(D),(D),"25,724","41,244"
1133,Logging,Firms,"12,538","1,538","5,963","2,872","1,505","11,878",598,32,"12,508",30
1133,Logging,Establishments,"12,620","1,539","5,966","2,873","1,507","11,885",608,35,"12,528",92
1133,Logging,Employment,"78,129",0,"12,795","18,955","19,620","51,370","18,831","2,557","72,758","5,371"
1133,Logging,"Annual Payroll ($1,000)","2,057,252","38,974","271,741","418,989","472,907","1,202,611","514,450","92,692","1,809,753","247,499"
11331,Logging,Firms,"12,538","1,538","5,963","2,872","1,505","11,878",598,32,"12,508",30
11331,Logging,Establishments,"12,620","1,539","5,966","2,873","1,507","11,885",608,35,"12,528",92
11331,Logging,Employment,"78,129",0,"12,795","18,955","19,620","51,370","18,831","2,557","72,758","5,371"
11331,Logging,"Annual Payroll ($1,000)","2,057,252","38,974","271,741","418,989","472,907","1,202,611","514,450","92,692","1,809,753","247,499"
113310,Logging,Firms,"12,538","1,538","5,963","2,872","1,505","11,878",598,32,"12,508",30
113310,Logging,Establishments,"12,620","1,539","5,966","2,873","1,507","11,885",608,35,"12,528",92
113310,Logging,Employment,"78,129",0,"12,795","18,955","19,620","51,370","18,831","2,557","72,758","5,371"
113310,Logging,"Annual Payroll ($1,000)","2,057,252","38,974","271,741","418,989","472,907","1,202,611","514,450","92,692","1,809,753","247,499"
114,"Fishing, hunting, & trapping",Firms,"2,660",977,"1,305",198,90,"2,570",64,17,"2,651",9
114,"Fishing, hunting, & trapping",Establishments,"2,671",977,"1,305",199,90,"2,571",65,21,"2,657",14
114,"Fishing, hunting, & trapping",Employment,"9,988",0,"2,118","1,270","1,220","4,608","2,233",[g],[i],[g]
114,"Fishing, hunting, & trapping","Annual Payroll ($1,000)","342,459","26,595","56,957","29,824","35,153","148,529","64,910",(D),(D),(D)
1141,Fishing,Firms,"2,299",892,"1,120",158,57,"2,227",51,14,"2,292",7
1141,Fishing,Establishments,"2,308",892,"1,120",159,57,"2,228",52,17,"2,297",11
1141,Fishing,Employment,"7,477",0,"1,779","1,006",748,"3,533","1,799","1,396","6,728",749
1141,Fishing,"Annual Payroll ($1,000)","266,695","25,253","50,583","25,269","24,212","125,317","56,000","59,580","240,897","25,798"
11411,Fishing,Firms,"2,299",892,"1,120",158,57,"2,227",51,14,"2,292",7
11411,Fishing,Establishments,"2,308",892,"1,120",159,57,"2,228",52,17,"2,297",11
11411,Fishing,Employment,"7,477",0,"1,779","1,006",748,"3,533","1,799","1,396","6,728",749
11411,Fishing,"Annual Payroll ($1,000)","266,695","25,253","50,583","25,269","24,212","125,317","56,000","59,580","240,897","25,798"
114111,Finfish fishing,Firms,"1,350",531,639,104,31,"1,305",27,11,"1,343",7
114111,Finfish fishing,Establishments,"1,357",531,639,104,31,"1,305",27,14,"1,346",11
114111,Finfish fishing,Employment,"4,833",0,"1,001",662,397,"2,060","1,025",999,"4,084",749
114111,Finfish fishing,"Annual Payroll ($1,000)","190,500","16,341","26,174","16,185","16,399","75,099","35,592","54,011","164,702","25,798"
114112,Shellfish fishing,Firms,940,356,478,55,25,914,23,3,940,0
114112,Shellfish fishing,Establishments,941,356,478,55,25,914,24,3,941,0
114112,Shellfish fishing,Employment,"2,628",0,775,344,[e],[g],[f],397,"2,628",0
114112,Shellfish fishing,"Annual Payroll ($1,000)","75,414","8,569","24,371","9,084",(D),(D),(D),"5,569","75,414",0
114119,Other marine fishing,Firms,10,5,3,0,1,9,1,0,10,0
114119,Other marine fishing,Establishments,10,5,3,0,1,9,1,0,10,0
114119,Other marine fishing,Employment,16,0,3,0,[a],[a],[a],0,16,0
114119,Other marine fishing,"Annual Payroll ($1,000)",781,343,38,0,(D),(D),(D),0,781,0
1142,Hunting & trapping,Firms,363,85,185,40,33,343,13,4,360,3
1142,Hunting & trapping,Establishments,363,85,185,40,33,343,13,4,360,3
1142,Hunting & trapping,Employment,"2,511",0,339,264,472,"1,075",434,[e],[g],[f]
1142,Hunting & trapping,"Annual Payroll ($1,000)","75,764","1,342","6,374","4,555","10,941","23,212","8,910",(D),(D),(D)
11421,Hunting & trapping,Firms,363,85,185,40,33,343,13,4,360,3
11421,Hunting & trapping,Establishments,363,85,185,40,33,343,13,4,360,3
11421,Hunting & trapping,Employment,"2,511",0,339,264,472,"1,075",434,[e],[g],[f]
11421,Hunting & trapping,"Annual Payroll ($1,000)","75,764","1,342","6,374","4,555","10,941","23,212","8,910",(D),(D),(D)
114210,Hunting & trapping,Firms,363,85,185,40,33,343,13,4,360,3
114210,Hunting & trapping,Establishments,363,85,185,40,33,343,13,4,360,3
114210,Hunting & trapping,Employment,"2,511",0,339,264,472,"1,075",434,[e],[g],[f]
114210,Hunting & trapping,"Annual Payroll ($1,000)","75,764","1,342","6,374","4,555","10,941","23,212","8,910",(D),(D),(D)
115,Agriculture & forestry support activities,Firms,"9,667","1,767","4,862","1,467",732,"8,828",617,169,"9,614",53
115,Agriculture & forestry support activities,Establishments,"10,058","1,767","4,866","1,467",740,"8,840",677,349,"9,866",192
115,Agriculture & forestry support activities,Employment,"90,434",0,"9,610","9,548","9,653","28,811","24,224",[j],[l],[j]
115,Agriculture & forestry support activities,"Annual Payroll ($1,000)","2,083,833","56,534","213,786","228,450","236,290","735,060","544,385",(D),(D),(D)
1151,Crop production support activities,Firms,"4,753",915,"2,105",779,414,"4,213",379,122,"4,714",39
1151,Crop production support activities,Establishments,"5,061",915,"2,109",779,422,"4,225",414,259,"4,898",163
1151,Crop production support activities,Employment,"57,587",0,"4,321","5,084","5,437","14,842","15,006","17,810","47,658","9,929"
1151,Crop production support activities,"Annual Payroll ($1,000)","1,347,539","34,609","114,494","142,162","140,426","431,691","348,293","333,419","1,113,403","234,136"
11511,Crop production support activities,Firms,"4,753",915,"2,105",779,414,"4,213",379,122,"4,714",39
11511,Crop production support activities,Establishments,"5,061",915,"2,109",779,422,"4,225",414,259,"4,898",163
11511,Crop production support activities,Employment,"57,587",0,"4,321","5,084","5,437","14,842","15,006","17,810","47,658","9,929"
11511,Crop production support activities,"Annual Payroll ($1,000)","1,347,539","34,609","114,494","142,162","140,426","431,691","348,293","333,419","1,113,403","234,136"
115111,Cotton ginning,Firms,277,31,83,75,47,236,34,4,274,3
115111,Cotton ginning,Establishments,365,31,85,75,48,239,39,71,349,16
115111,Cotton ginning,Employment,"2,594",0,198,492,625,"1,315",911,302,"2,528",66
115111,Cotton ginning,"Annual Payroll ($1,000)","81,387","1,415","8,228","16,652","18,794","45,089","26,221","8,000","79,310","2,077"
115112,"Soil preparation, planting, & cultivating",Firms,"2,223",443,"1,137",381,157,"2,118",89,12,"2,219",4
115112,"Soil preparation, planting, & cultivating",Establishments,"2,254",443,"1,138",381,158,"2,120",90,38,"2,248",6
115112,"Soil preparation, planting, & cultivating",Employment,"11,038",0,"2,329","2,474","1,984","6,787","2,925","1,272","10,984",54
115112,"Soil preparation, planting, & cultivating","Annual Payroll ($1,000)","302,617","13,829","58,706","63,830","47,177","183,542","75,641","39,462","298,645","3,972"
115113,"Crop harvesting, primarily by machine",Firms,338,86,142,52,26,306,20,5,331,7
115113,"Crop harvesting, primarily by machine",Establishments,340,86,142,52,26,306,20,6,332,8
115113,"Crop harvesting, primarily by machine",Employment,"5,026",0,276,338,366,980,730,[c],[g],[h]
115113,"Crop harvesting, primarily by machine","Annual Payroll ($1,000)","68,578","4,072","6,531","8,185","9,692","28,480","15,771",(D),(D),(D)
115114,Postharvest crop activities (exc. ginning),Firms,876,109,246,139,114,608,160,79,847,29
115114,Postharvest crop activities (exc. ginning),Establishments,"1,028",109,246,139,118,612,187,107,906,122
115114,Postharvest crop activities (exc. ginning),Employment,"28,492",0,535,945,"1,525","3,005","7,454","11,900","22,359","6,133"
115114,Postharvest crop activities (exc. ginning),"Annual Payroll ($1,000)","666,952","4,161","13,728","27,748","41,557","87,194","173,521","218,671","479,386","187,566"
115115,Farm labor contractors & crew leaders,Firms,517,172,196,66,31,465,36,15,516,1
115115,Farm labor contractors & crew leaders,Establishments,521,172,196,66,31,465,36,15,516,5
115115,Farm labor contractors & crew leaders,Employment,"5,734",0,384,411,398,"1,193","1,525",[h],[i],[e]
115115,Farm labor contractors & crew leaders,"Annual Payroll ($1,000)","101,733","8,275","12,346","13,874","7,677","42,172","25,501",(D),(D),(D)
115116,Farm management services,Firms,541,74,302,66,41,483,41,12,536,5
115116,Farm management services,Establishments,553,74,302,66,41,483,42,22,547,6
115116,Farm management services,Employment,"4,703",0,599,424,539,"1,562","1,461","1,407","4,430",273
115116,Farm management services,"Annual Payroll ($1,000)","126,272","2,857","14,955","11,873","15,529","45,214","31,638","41,637","118,489","7,783"
1152,Animal production support activities,Firms,"3,403",533,"1,997",507,214,"3,251",122,22,"3,395",8
1152,Animal production support activities,Establishments,"3,450",533,"1,997",507,214,"3,251",125,59,"3,435",15
1152,Animal production support activities,Employment,"18,197",0,"3,786","3,304","2,812","9,902","4,166","3,251","17,319",878
1152,Animal production support activities,"Annual Payroll ($1,000)","383,710","12,081","60,231","56,134","55,007","183,453","84,658","88,383","356,494","27,216"
11521,Animal production support activities,Firms,"3,403",533,"1,997",507,214,"3,251",122,22,"3,395",8
11521,Animal production support activities,Establishments,"3,450",533,"1,997",507,214,"3,251",125,59,"3,435",15
11521,Animal production support activities,Employment,"18,197",0,"3,786","3,304","2,812","9,902","4,166","3,251","17,319",878
11521,Animal production support activities,"Annual Payroll ($1,000)","383,710","12,081","60,231","56,134","55,007","183,453","84,658","88,383","356,494","27,216"
115210,Animal production support activities,Firms,"3,403",533,"1,997",507,214,"3,251",122,22,"3,395",8
115210,Animal production support activities,Establishments,"3,450",533,"1,997",507,214,"3,251",125,59,"3,435",15
115210,Animal production support activities,Employment,"18,197",0,"3,786","3,304","2,812","9,902","4,166","3,251","17,319",878
115210,Animal production support activities,"Annual Payroll ($1,000)","383,710","12,081","60,231","56,134","55,007","183,453","84,658","88,383","356,494","27,216"
1153,Forestry support activities,Firms,"1,513",319,760,181,104,"1,364",116,25,"1,505",8
1153,Forestry support activities,Establishments,"1,547",319,760,181,104,"1,364",138,31,"1,533",14
1153,Forestry support activities,Employment,"14,650",0,"1,503","1,160","1,404","4,067","5,052",[h],[j],[g]
1153,Forestry support activities,"Annual Payroll ($1,000)","352,584","9,844","39,061","30,154","40,857","119,916","111,434",(D),(D),(D)
11531,Forestry support activities,Firms,"1,513",319,760,181,104,"1,364",116,25,"1,505",8
11531,Forestry support activities,Establishments,"1,547",319,760,181,104,"1,364",138,31,"1,533",14
11531,Forestry support activities,Employment,"14,650",0,"1,503","1,160","1,404","4,067","5,052",[h],[j],[g]
11531,Forestry support activities,"Annual Payroll ($1,000)","352,584","9,844","39,061","30,154","40,857","119,916","111,434",(D),(D),(D)
115310,Forestry support activities,Firms,"1,513",319,760,181,104,"1,364",116,25,"1,505",8
115310,Forestry support activities,Establishments,"1,547",319,760,181,104,"1,364",138,31,"1,533",14
115310,Forestry support activities,Employment,"14,650",0,"1,503","1,160","1,404","4,067","5,052",[h],[j],[g]
115310,Forestry support activities,"Annual Payroll ($1,000)","352,584","9,844","39,061","30,154","40,857","119,916","111,434",(D),(D),(D)
21,Mining,Firms,"18,756","2,161","8,769","2,861","2,089","15,880","2,094",447,"18,421",335
21,Mining,Establishments,"23,738","2,163","8,816","2,941","2,229","16,149","2,649","1,185","19,983","3,755"
21,Mining,Employment,"456,128",0,"17,708","18,874","28,024","64,606","76,770","59,098","200,474","255,654"
21,Mining,"Annual Payroll ($1,000)","22,091,246","127,476","550,268","656,238","1,030,431","2,364,413","3,083,379","2,877,049","8,324,841","13,766,405"
211,Oil & gas extraction,Firms,"6,472",807,"3,779",928,441,"5,955",341,77,"6,373",99
211,Oil & gas extraction,Establishments,"7,740",807,"3,793",940,479,"6,019",458,242,"6,719","1,021"
211,Oil & gas extraction,Employment,"83,012",0,"7,414","6,047","5,723","19,184","12,285","9,966","41,435","41,577"
211,Oil & gas extraction,"Annual Payroll ($1,000)","5,393,011","40,616","249,214","253,368","271,729","814,927","734,334","703,689","2,252,950","3,140,061"
2111,Oil & gas extraction,Firms,"6,472",807,"3,779",928,441,"5,955",341,77,"6,373",99
2111,Oil & gas extraction,Establishments,"7,740",807,"3,793",940,479,"6,019",458,242,"6,719","1,021"
2111,Oil & gas extraction,Employment,"83,012",0,"7,414","6,047","5,723","19,184","12,285","9,966","41,435","41,577"
2111,Oil & gas extraction,"Annual Payroll ($1,000)","5,393,011","40,616","249,214","253,368","271,729","814,927","734,334","703,689","2,252,950","3,140,061"
21111,Oil & gas extraction,Firms,"6,472",807,"3,779",928,441,"5,955",341,77,"6,373",99
21111,Oil & gas extraction,Establishments,"7,740",807,"3,793",940,479,"6,019",458,242,"6,719","1,021"
21111,Oil & gas extraction,Employment,"83,012",0,"7,414","6,047","5,723","19,184","12,285","9,966","41,435","41,577"
21111,Oil & gas extraction,"Annual Payroll ($1,000)","5,393,011","40,616","249,214","253,368","271,729","814,927","734,334","703,689","2,252,950","3,140,061"
211111,Crude petroleum & natural gas extraction,Firms,"6,417",800,"3,768",916,437,"5,921",334,72,"6,327",90
211111,Crude petroleum & natural gas extraction,Establishments,"7,273",800,"3,782",927,475,"5,984",443,226,"6,653",620
211111,Crude petroleum & natural gas extraction,Employment,"73,704",[a],[i],"5,975","5,679","19,049","11,870","9,718","40,637","33,067"
211111,Crude petroleum & natural gas extraction,"Annual Payroll ($1,000)","4,809,154",(D),(D),"248,567","270,312","805,166","712,978","690,067","2,208,211","2,600,943"
211112,Natural gas liquid extraction,Firms,84,7,11,12,4,34,10,6,50,34
211112,Natural gas liquid extraction,Establishments,467,7,11,13,4,35,15,16,66,401
211112,Natural gas liquid extraction,Employment,"9,308",[a],[a],72,44,135,415,248,798,"8,510"
211112,Natural gas liquid extraction,"Annual Payroll ($1,000)","583,857",(D),(D),"4,801","1,417","9,761","21,356","13,622","44,739","539,118"
212,Mining (except oil & gas),Firms,"4,761",462,"1,373",793,779,"3,407",907,251,"4,565",196
212,Mining (except oil & gas),Establishments,"7,231",462,"1,377",796,794,"3,429","1,138",653,"5,220","2,011"
212,Mining (except oil & gas),Employment,"204,329",0,"3,021","5,319","10,634","18,974","32,452","30,046","81,472","122,857"
212,Mining (except oil & gas),"Annual Payroll ($1,000)","9,344,103","28,166","93,159","165,310","367,329","653,964","1,218,368","1,297,058","3,169,390","6,174,713"
2121,Coal mining,Firms,880,64,184,105,150,503,266,63,832,48
2121,Coal mining,Establishments,"1,253",64,186,105,153,508,285,143,936,317
2121,Coal mining,Employment,"70,666",0,413,689,"2,071","3,173","10,689","10,352","24,214","46,452"
2121,Coal mining,"Annual Payroll ($1,000)","3,542,168","7,687","13,461","19,911","68,757","109,816","385,337","453,755","948,908","2,593,260"
21211,Coal mining,Firms,880,64,184,105,150,503,266,63,832,48
21211,Coal mining,Establishments,"1,253",64,186,105,153,508,285,143,936,317
21211,Coal mining,Employment,"70,666",0,413,689,"2,071","3,173","10,689","10,352","24,214","46,452"
21211,Coal mining,"Annual Payroll ($1,000)","3,542,168","7,687","13,461","19,911","68,757","109,816","385,337","453,755","948,908","2,593,260"
212111,Bituminous coal & lignite surface mining,Firms,505,36,115,63,77,291,134,39,464,41
212111,Bituminous coal & lignite surface mining,Establishments,699,36,115,63,80,294,147,77,518,181
212111,Bituminous coal & lignite surface mining,Employment,"31,114",[a],255,410,"1,028",[g],"5,310","5,181",[j],[j]
212111,Bituminous coal & lignite surface mining,"Annual Payroll ($1,000)","1,570,927",(D),"7,005","9,686","33,005",(D),"202,525","236,549",(D),(D)
212112,Bituminous coal underground mining,Firms,366,25,56,31,66,178,128,32,338,28
212112,Bituminous coal underground mining,Establishments,496,25,56,31,66,178,129,54,361,135
212112,Bituminous coal underground mining,Employment,"38,644",0,119,212,957,"1,288","5,048","4,815","11,151","27,493"
212112,Bituminous coal underground mining,"Annual Payroll ($1,000)","1,940,981","3,492","5,442","8,433","33,805","51,172","173,137","202,605","426,914","1,514,067"
212113,Anthracite mining,Firms,48,3,15,11,7,36,8,3,47,1
212113,Anthracite mining,Establishments,58,3,15,11,7,36,9,12,57,1
212113,Anthracite mining,Employment,908,[a],39,67,86,[c],331,356,[f],[b]
212113,Anthracite mining,"Annual Payroll ($1,000)","30,260",(D),"1,014","1,792","1,947",(D),"9,675","14,601",(D),(D)
2122,Metal ore mining,Firms,412,74,175,56,33,338,25,21,384,28
2122,Metal ore mining,Establishments,522,74,175,59,35,343,36,41,420,102
2122,Metal ore mining,Employment,"34,820",0,353,368,418,"1,139",672,"3,858","5,669","29,151"
2122,Metal ore mining,"Annual Payroll ($1,000)","1,718,470","1,629","12,880","14,205","15,301","44,015","30,010","171,961","245,986","1,472,484"
21221,Iron ore mining,Firms,31,4,8,5,2,19,4,4,27,4
21221,Iron ore mining,Establishments,39,4,8,5,2,19,4,7,30,9
21221,Iron ore mining,Employment,"7,707",0,[a],38,[b],79,55,665,799,"6,908"
21221,Iron ore mining,"Annual Payroll ($1,000)","383,872",43,(D),"2,237",(D),"3,277","1,611","34,419","39,307","344,565"
212210,Iron ore mining,Firms,31,4,8,5,2,19,4,4,27,4
212210,Iron ore mining,Establishments,39,4,8,5,2,19,4,7,30,9
212210,Iron ore mining,Employment,"7,707",0,[a],38,[b],79,55,665,799,"6,908"
212210,Iron ore mining,"Annual Payroll ($1,000)","383,872",43,(D),"2,237",(D),"3,277","1,611","34,419","39,307","344,565"
21222,Gold ore & silver ore mining,Firms,272,57,122,36,21,236,13,11,260,12
21222,Gold ore & silver ore mining,Establishments,320,57,122,36,22,237,20,23,280,40
21222,Gold ore & silver ore mining,Employment,"12,278",0,253,228,262,743,380,"1,812","2,935","9,343"
21222,Gold ore & silver ore mining,"Annual Payroll ($1,000)","625,555","1,275","9,693","8,727","10,223","29,918","19,616","62,703","112,237","513,318"
212221,Gold ore mining,Firms,261,54,118,35,19,226,13,10,249,12
212221,Gold ore mining,Establishments,306,54,118,35,20,227,20,21,268,38
212221,Gold ore mining,Employment,"11,508",[a],243,[c],[c],[f],380,[g],[h],[i]
212221,Gold ore mining,"Annual Payroll ($1,000)","595,462",(D),"9,527",(D),(D),(D),"19,616",(D),(D),(D)
212222,Silver ore mining,Firms,13,3,4,1,2,10,0,2,12,1
212222,Silver ore mining,Establishments,14,3,4,1,2,10,0,2,12,2
212222,Silver ore mining,Employment,770,[a],10,[a],[b],[b],0,[e],[e],[e]
212222,Silver ore mining,"Annual Payroll ($1,000)","30,093",(D),166,(D),(D),(D),0,(D),(D),(D)
21223,"Copper, nickel, lead, & zinc mining",Firms,53,5,20,8,4,37,3,3,43,10
21223,"Copper, nickel, lead, & zinc mining",Establishments,86,5,20,10,5,40,3,4,47,39
21223,"Copper, nickel, lead, & zinc mining",Employment,"11,517",0,40,52,60,152,43,821,"1,016","10,501"
21223,"Copper, nickel, lead, & zinc mining","Annual Payroll ($1,000)","515,781",72,"1,102","1,491","2,797","5,462","1,639","47,771","54,872","460,909"
212231,Lead ore & zinc ore mining,Firms,20,1,8,3,1,13,1,1,15,5
212231,Lead ore & zinc ore mining,Establishments,31,1,8,3,2,14,1,2,17,14
212231,Lead ore & zinc ore mining,Employment,"2,074",[a],[a],21,[a],54,[a],[e],[e],[g]
212231,Lead ore & zinc ore mining,"Annual Payroll ($1,000)","98,906",(D),(D),371,(D),"2,024",(D),(D),(D),(D)
212234,Copper ore & nickel ore mining,Firms,34,4,12,5,3,24,2,2,28,6
212234,Copper ore & nickel ore mining,Establishments,55,4,12,7,3,26,2,2,30,25
212234,Copper ore & nickel ore mining,Employment,"9,443",[a],[b],31,[b],98,[b],[e],[f],[i]
212234,Copper ore & nickel ore mining,"Annual Payroll ($1,000)","416,875",(D),(D),"1,120",(D),"3,438",(D),(D),(D),(D)
21229,Other metal ore mining,Firms,65,8,25,8,6,47,5,4,56,9
21229,Other metal ore mining,Establishments,77,8,25,8,6,47,9,7,63,14
21229,Other metal ore mining,Employment,"3,318",0,[b],50,[b],165,194,560,919,"2,399"
21229,Other metal ore mining,"Annual Payroll ($1,000)","193,262",239,(D),"1,750",(D),"5,358","7,144","27,068","39,570","153,692"
212291,Uraniumradiumvanadium ore mining,Firms,18,0,4,3,1,8,4,2,14,4
212291,Uraniumradiumvanadium ore mining,Establishments,26,0,4,3,1,8,8,3,19,7
212291,Uraniumradiumvanadium ore mining,Employment,584,0,[a],19,[a],[b],[c],[c],352,232
212291,Uraniumradiumvanadium ore mining,"Annual Payroll ($1,000)","30,079",0,(D),"1,092",(D),(D),(D),(D),"16,180","13,899"
212299,All other metal ore mining,Firms,48,8,21,5,5,39,1,3,43,5
212299,All other metal ore mining,Establishments,51,8,21,5,5,39,1,4,44,7
212299,All other metal ore mining,Employment,"2,734",0,[b],31,[b],[c],[b],[e],567,"2,167"
212299,All other metal ore mining,"Annual Payroll ($1,000)","163,183",239,(D),658,(D),(D),(D),(D),"23,390","139,793"
2123,Nonmetallic mineral mining & quarrying,Firms,"3,492",324,"1,014",632,596,"2,566",618,172,"3,356",136
2123,Nonmetallic mineral mining & quarrying,Establishments,"5,456",324,"1,016",632,606,"2,578",817,469,"3,864","1,592"
2123,Nonmetallic mineral mining & quarrying,Employment,"98,843",0,"2,255","4,262","8,145","14,662","21,091","15,836","51,589","47,254"
2123,Nonmetallic mineral mining & quarrying,"Annual Payroll ($1,000)","4,083,465","18,850","66,818","131,194","283,271","500,133","803,021","671,342","1,974,496","2,108,969"
21231,Stone mining & quarrying,Firms,"1,290",91,294,223,246,854,277,80,"1,211",79
21231,Stone mining & quarrying,Establishments,"2,420",91,295,223,249,858,375,226,"1,459",961
21231,Stone mining & quarrying,Employment,"46,849",0,658,"1,546","3,390","5,594","9,791","7,932","23,317","23,532"
21231,Stone mining & quarrying,"Annual Payroll ($1,000)","1,914,976","4,389","18,138","47,044","117,937","187,508","364,171","343,244","894,923","1,020,053"
212311,Dimension stone mining & quarrying,Firms,224,33,87,40,37,197,20,3,220,4
212311,Dimension stone mining & quarrying,Establishments,255,33,87,40,37,197,23,4,224,31
212311,Dimension stone mining & quarrying,Employment,"2,566",0,200,289,486,975,776,252,"2,003",563
212311,Dimension stone mining & quarrying,"Annual Payroll ($1,000)","78,269","1,494","4,771","6,341","14,610","27,216","21,983","6,877","56,076","22,193"
212312,Crushed & broken limestone mining & quarrying,Firms,629,28,100,92,126,346,166,57,569,60
212312,Crushed & broken limestone mining & quarrying,Establishments,"1,381",28,100,92,129,349,248,166,763,618
212312,Crushed & broken limestone mining & quarrying,Employment,"28,417",0,217,628,"1,741","2,586","5,952","5,393","13,931","14,486"
212312,Crushed & broken limestone mining & quarrying,"Annual Payroll ($1,000)","1,152,534","2,010","6,521","21,152","59,529","89,212","220,700","225,566","535,478","617,056"
212313,Crushed & broken granite mining & quarrying,Firms,117,8,18,24,12,62,25,10,97,20
212313,Crushed & broken granite mining & quarrying,Establishments,297,8,18,24,12,62,26,17,105,192
212313,Crushed & broken granite mining & quarrying,Employment,"7,327",0,40,166,183,389,946,734,"2,069","5,258"
212313,Crushed & broken granite mining & quarrying,"Annual Payroll ($1,000)","333,284",311,"1,344","5,397","5,880","12,932","39,788","47,991","100,711","232,573"
212319,Other crushed & broken stone mining & quarrying,Firms,379,22,90,67,71,250,70,23,343,36
212319,Other crushed & broken stone mining & quarrying,Establishments,487,22,90,67,71,250,78,39,367,120
212319,Other crushed & broken stone mining & quarrying,Employment,"8,539",0,201,463,980,"1,644","2,117","1,553","5,314","3,225"
212319,Other crushed & broken stone mining & quarrying,"Annual Payroll ($1,000)","350,889",574,"5,502","14,154","37,918","58,148","81,700","62,810","202,658","148,231"
